number,title,updated_at,html_url
14371,"Create pod containing reconciliation and adapter microservices in cloud, if serviceaccount token is mounted",27/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14371
14370,Add incoming discovery queue NFVO DB table to dequeue discovery jobs for execution,01/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14370
14369,Add discovery status cache NFVO DB table and modify the DiscoveryStatusDatastore in discovery controller to use it instead of a hash map,27/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14369
14368,Create a separate rpm for discovery controller and one more rpm for recon and adapter MS,25/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14368
14367,NFVD - Load Virtual Machines of Datacenter is failing with transaction timeout on concurrent invocations on a DC with over 3K VMs - 5391216803,11/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14367
14362,Update containe-microservice for JDK25 and springboot 3.5.6,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14362
14358,A41 Unboard output parameters for OpenStack DC show detached network/subnetworks items from a shared Virtual Link in PENDING status even when the VL was fully deleted,02/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14358
14355,Oracle Support Removal from Ansible,06/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14355
14354,[E2E] Select flavour before deploy instance in VNFLifeCycleScales,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14354
14353,[Improve E2E tests] Create a cron to bring up minio container on the docker VM if its down,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14353
14352,Password values exposed in the logs,26/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14352
14351,VM Recreation During Flavour Change in chgPackage Operations (5392311266),06/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14351
14349,[RESEARCH] Ansible Role Automation with Molecule and Jenkins,08/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14349
14346,Identifiers of some children artifacts under existing Classic ETSI VNF instances and templates trees are not consistent,14/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14346
14344,RHEL 9.x Compatibility Analysis for NFVO Ansible Installer,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14344
14341,Migrate nfvd-ff-ldap-connector to JDK 25,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14341
14340,Migrate nfvd-ff-api to JDK 25 and Jakarta EE,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14340
14338,Create a Migration Guide from NFVO 7.x to NFVO 8.x,05/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14338
14337,ETSI V2 Change VNFPKG fails if internal virtual links connections are changed before triggering the operation,03/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14337
14335,Migrate nfvd-ff-container-microservice-client,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14335
14334,Migrate nfvd-ff-vcenter-microservice-client,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14334
14333,Migrate nfvd-ff-generic-microservice-client,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14333
14332,Migrate nfvd-ff-sc-mwfm,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14332
14330,Migrate nfvd-ff-openstack-client to JDK 25,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14330
14329,Align NodeJS / CouchDB version to UOC recommended version,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14329
14328,Migrate nfvd-ff-model to JDK 25,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14328
14327,Migrate nfvd-ff-etsi-vnfm-client to JDK 25,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14327
14326,Migrate nfvd-ff-core to JDK 25,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14326
14325,Migrate nfvd-ff-automation to JDK25,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14325
14324,Cloud oriented architecture for discovery processes [5391265962],02/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14324
14321,Disable cgroups v2 for RHEL 9.x,05/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14321
14320,Migrate nfvd-ff-database projects to JDK 25,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14320
14319,Migrate nfvd-ff-e2e-tests to JDK 25,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14319
14318,Migrate FF repositories to JDK 25,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14318
14317,Migrate nfvd-ff-encryption-utils to JDK25,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14317
14316,Migrate FF API to JDK 25,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14316
14315,Support next 8.0.0 Major version for NFVO,28/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14315
14310,"[Bug]: New DC discovery fails with error ""None of ids of pre-discovered tenants are matching with Openstack tenant ids.""",09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14310
14304,Test case for Create instance failing for the Samsung ACPF due to null in template,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14304
14293,Allow removal of DC or namespace detach (for K8 DCs) in A41 Unboard API if it is attached to a VNFG with VNFs ,07/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14293
14290,e2e test cases with GVNFM for the display of Virtual Machine names in NFVO ETSI V2 VNFs deployed on OpenStack ,15/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14290
14284,[RESEARCH] Check if `meta.helm.sh/release-name` can be used to filter in GET TOPOLOGY,17/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14284
14271,Expose Discovery API into /nfvd-ext context (5391734610),26/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14271
14270,[Task] [UI] Drop use of  ``RappidJS / JointJS+`` in favor of ``JointJS`` opensource,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14270
14269,[RESEARCH] ETSI VNF VIRTUAL PORT artifacts are being recreated on discovery and not reconciling if their INFO.MAC attribute is empty,13/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14269
14263,"During Get topology at chart level, the Job description is not getting updated correctly when custom topology is set in chart",01/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14263
14260,[RESEARCH] increased DB CPU utilization for particular query- during both performance testing of USM upgrades and undeploy operations with EDB 13 and EDB 15[5388773755],01/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14260
14249,"Document gaps to be compliant with ""Post-Quantum Cryptography Policy""",14/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14249
14246,Mail notifications are not sent for users,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14246
14245,[Task] [UI] Removal of ``xinetd``,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14245
14227,Improve  `discovery-ms-admin.sh` to display the correct status of discovery services after a failed/successful start,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14227
14224,[NFVO 7.5.0]: Feature-independent doc improvements,02/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14224
14195,[nfvd-ff-container-microservice] Improve memory management when building HTTP requests for non TLD CNF callbacks in container-ms,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14195
14171,Offline Upgrade Failure from NFVO 7.3.0 to NFVO 7.4.0,14/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14171
14167,Review and fix the use of the ConcurrencyService in `Migrate from v1 to v2 model` operation,12/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14167
14166,Review and fix the use of the ConcurrencyService in V2 model `Create VNF instance target version` operation,24/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14166
14165,Review and fix the use of the ConcurrencyService in V2 model `Adopt Vnf` operation,24/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14165
14163,Review and fix the use of the ConcurrencyService in V2 model operations,18/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14163
14160,[RESEARCH] Performance deleting large organizations,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14160
14159,[RESEARCH] Improve Delete pakage in use performance ,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14159
14140,[Task] [UI] Integration of NFVO UI unit and E2E tests with Spira,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14140
14106,Spike - Automatic mechanism to reconciliate the CNFs of our NFVO inventory with the actual status of Kubernetes,23/09/2025,https://github.hpe.com/hpsd/nfvd/issues/14106
14087,[FF_API][E2E Tests] Create new E2E test cases to validate the v2 check quota feature,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14087
14084,[NFVO 7.3.2] Generate NFVO 7.3.2,01/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14084
14081,[NFVO 7.3.2] NFVO 7.3.2 MR,01/12/2025,https://github.hpe.com/hpsd/nfvd/issues/14081
14077,E2E test cases for Pre/Policy alignment epic in non tld/tld cnf and vnf flows,12/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14077
14076,Documentation Improvement for Pre/Post Policies for tld/non tld mode and VNFs,12/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14076
14073,[FF_API] Modify ETSI v2 operations to include check-quota flag in their job request_content,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14073
14072,[FF_API] Create GrantQuotaCalculation method in GrantService,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14072
14069,[NFVO 7.5.0] Vulnerability impact assessment and triage effort,28/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14069
14068,[NFVO 7.5.0] Publish Security Bulletin,19/06/2025,https://github.hpe.com/hpsd/nfvd/issues/14068
14060,[Task] Update E2E UI tests to use with cypress 14,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14060
14059,"[Integrated API-UI test] ""Migrate CNFs within NFV-O Catalog"" not displaying correctly CNFs deployed in several namespaces with manual placement",09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14059
14058,"[Docs] Documentation and RNs for ""Migrate CNFs within NFV-O Catalog"" not displaying correctly CNFs deployed in several namespaces with manual placement",09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14058
14057,"[Bug]: ""Migrate CNFs within NFV-O Catalog"" not displaying correctly CNFs when deployed with manual placement in several namespaces",09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14057
14055,[nfvd-ff-api] Add configurable timeouts for HTTPURLConnectionImpl REST connections,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14055
14053,"[Epic]: ""Migrate CNFs within NFV-O Catalog"" not displaying correctly CNFs deployed in several namespaces with manual placement",09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14053
14052,[FF_API] New API to modify Tenant Openstack Quotas,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14052
14046,[Test]: [UI] E2E quota in ETSI v2 LCM operation test suite,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14046
14045,[Integrated test API-UI] Integration test for quota check in ETSI v2 LCM operations,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14045
14044,[Docs] Documentation and RN related to Quota check for ETSI v2 LCM operations,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14044
14042,[Feat]: [UI] Quota check for ETSI v2 model LCM operations,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14042
14040,[FF_API] New API to retrieve Tenant Openstack Quotas,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14040
14038,[Feat]: [UI] Openstack tenant quota management,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14038
14014,SQL utility Improvements,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14014
14009,[nfvd-ff-model] E2E tests for TLD validations of SQL Export Utility,20/10/2025,https://github.hpe.com/hpsd/nfvd/issues/14009
14006,[nfvd-ff-model] Use SLF4J logging for SQL Export Utility logs,12/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14006
14005,Improve local.sh script for vm execution to support wait time and retries,12/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14005
14002,"Improve non tld mode for Local execution of pre/post policy - multiple execution, consider stdin , include retries and wait time etc",12/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14002
14001,Align TLD mode with non tld for Local execution of pre/post policy,12/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14001
14000,Model changes to POLICY:POSTPRE_PROCESSING artifact,12/11/2025,https://github.hpe.com/hpsd/nfvd/issues/14000
13989,CNF NON-TLD mode observations for enhancments/defects,04/06/2025,https://github.hpe.com/hpsd/nfvd/issues/13989
13976,v2anilla Sky - Quota provisioning and available capacity check,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13976
13975,Support IN and NOT IN filters in SQL queries generated by findByPath APIs path expressions,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13975
13950,Improve performance of query vnf in v2 model instances,26/11/2025,https://github.hpe.com/hpsd/nfvd/issues/13950
13924,Generate NFVO 7.0.3,30/04/2025,https://github.hpe.com/hpsd/nfvd/issues/13924
13923,Additional NFVO 7.0.3 efforts,30/04/2025,https://github.hpe.com/hpsd/nfvd/issues/13923
13922,[NFVO 7.0.3] Release Checklist,30/04/2025,https://github.hpe.com/hpsd/nfvd/issues/13922
13898,[Doc] Handle empty deployment variables in the flows if modified,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13898
13897,[EPIC] Handle empty deployment variables in non TLD Change CNF Package,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13897
13894,[Test]: [UI] - E2E Target helm charts not included in change CNF package version when deployment variables not present,22/04/2025,https://github.hpe.com/hpsd/nfvd/issues/13894
13893,Target helm charts not included in change CNF package version when deployment variables not present (5388227480),09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13893
13889,Misalignment and improvements related to local pre/post policy execution ,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/13889
13877,[Bug]: OpenStack discovery reconciliation instance gets stuck after a failure at Datacenter Discovery task/step,27/11/2025,https://github.hpe.com/hpsd/nfvd/issues/13877
13875,[NFVO 7.4.0]: Feature-independent doc improvements ,02/07/2025,https://github.hpe.com/hpsd/nfvd/issues/13875
13866,"Manual Integration tests for ""Project 🪐Star wars 🪐- The vCloudVirtualization Awakens"" - features included in 740",27/05/2025,https://github.hpe.com/hpsd/nfvd/issues/13866
13842,Include license snippet to check new HPSA license inside HPSA solutions,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13842
13841,"Include pd file in NFVModel, NFVAuto, OSPLUGIN and VNFM solutions",09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13841
13799,Documentation for vCloud Epic,27/05/2025,https://github.hpe.com/hpsd/nfvd/issues/13799
13784,"[Test]: Integrated tests for performance enhancement in ""Import shared virtual links""",09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13784
13782,"[Feat]: [UI] Adapt new query for ""Import shared virtual links""",09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13782
13781,"[EPIC] Performance enhancement of ""Import Shared virtual links""",09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13781
13776,CNF Troubleshooting - Pod Delete,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13776
13746,Project License Impossible,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13746
13725,[Feat]: [UI] - Rework scroll in list of VNFs for particular user,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13725
13698,Dynamic metadata lookup as part of ResolveMetaReferencesService,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13698
13697,[Feat]: [UI] - Adapt new query to fulfil templates data in VNF designer / VNF component designer,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13697
13685,2 - Make isVcloud attribute available in several APIs ,27/05/2025,https://github.hpe.com/hpsd/nfvd/issues/13685
13684,"[E2E TESTS] Wrong ""constant:Accept"" header in WF_TS_DELETE_VOLUME_INVENTORY",09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13684
13673,Handle empty deployment variables in NFVD - FF API and/or Container MS,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13673
13648,[E2E tests] V2 Model Change Current VNF Package Rollback operation is sending an incorrect value in Version header,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/13648
13635,Remove from NFVD_CONFIGURATION table some keys moved to nfvd-endpoints.properties,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13635
13620,Project A41 - Phase IV (Only API) - Unboarding dry-run option,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13620
13618,Externalize variable for vCloud Microservice vcloudservice.endpoint ,27/05/2025,https://github.hpe.com/hpsd/nfvd/issues/13618
13601,Installation and configuration of nfvd-vcloud packages,29/05/2025,https://github.hpe.com/hpsd/nfvd/issues/13601
13598,Additional NFVO 7.2.1 efforts,04/11/2025,https://github.hpe.com/hpsd/nfvd/issues/13598
13597,[NFVO 7.2.1] Release Checklist,07/02/2025,https://github.hpe.com/hpsd/nfvd/issues/13597
13592,2 - Update Authentication API at DC and Org Vcloud level ,27/05/2025,https://github.hpe.com/hpsd/nfvd/issues/13592
13591,"Implement vCloud microservice communicates over HTTP, while the load balancer uses HTTPS with SSL offloading.",27/05/2025,https://github.hpe.com/hpsd/nfvd/issues/13591
13585,[Test]: [UI] - E2E Import networks in vnf group with several datacenters test suite,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13585
13581,Issues in the NFVD-latest file,04/02/2025,https://github.hpe.com/hpsd/nfvd/issues/13581
13578,4 - VCLOUD Microservice (Query Org VDC hardware version operation),27/05/2025,https://github.hpe.com/hpsd/nfvd/issues/13578
13570,[Task] [UI] - Check CORS vulnerability clearance,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13570
13567,[E2E]: [UI] - Check preattached volumes at volume import test suite,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13567
13566,Discovery controller to be enhanced to check for failed Refresh MS on startup,27/03/2025,https://github.hpe.com/hpsd/nfvd/issues/13566
13546,JobTimer for WAITING jobs forever,14/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13546
13545,[Task]: [UI] - Delete code related to old vCloud support,27/05/2025,https://github.hpe.com/hpsd/nfvd/issues/13545
13535,[EPIC] Manage CORS in NFVO UI installations,13/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13535
13532,Fix medium reliability and low security issues reported in SONAR in NFVD-DISCOVERY,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13532
13530,Fix medium reliability issues reported in SONAR in NFVD-FF-SC-MWFM,09/10/2025,https://github.hpe.com/hpsd/nfvd/issues/13530
